domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
ctp3,test03_10.graph,aot2,optimistic,100,10,0.5,100,51.85700,1.28787,193.74
ctp3,test03_10.graph,aot2,optimistic,500,10,0.5,100,51.13700,1.28853,590.99
ctp3,test03_10.graph,aot2,optimistic,1000,10,0.5,100,53.56100,1.45308,923.93
ctp3,test03_10.graph,aot2,optimistic,5000,10,0.5,100,50.89600,1.32652,2958.96
ctp3,test03_10.graph,aot-value2,optimistic,10,10,0.5,100,59.57000,1.67628,3.22
ctp3,test03_10.graph,aot-value2,optimistic,50,10,0.5,100,54.60800,1.41225,12.98
ctp3,test03_10.graph,aot-value2,optimistic,100,10,0.5,100,54.18500,1.43982,24.31
ctp3,test03_10.graph,aot-value2,optimistic,500,10,0.5,100,52.77000,1.44625,140.33
ctp3,test03_10.graph,aot-value2,optimistic,1000,10,0.5,100,50.89100,1.36200,279.59
ctp3,test03_10.graph,aot-value2,optimistic,5000,10,0.5,100,51.44600,1.35248,1884.47
ctp3,test04_10.graph,uct2,optimistic,100,10,0,NA,101.55900,1.63066,17.83
ctp3,test04_10.graph,uct2,optimistic,500,10,0,NA,94.93600,1.38671,84.29
ctp3,test04_10.graph,uct2,optimistic,1000,10,0,NA,92.72400,1.32813,163.55
ctp3,test04_10.graph,uct2,optimistic,5000,10,0,NA,88.49900,1.18242,766.03
ctp3,test04_10.graph,uct2,optimistic,10000,10,0,NA,88.85500,1.25310,1468.27
ctp3,test04_10.graph,aot2,optimistic,10,10,0.5,100,97.68000,1.51864,23.67
ctp3,test04_10.graph,aot2,optimistic,50,10,0.5,100,101.51100,1.55363,98.77
ctp3,test04_10.graph,aot2,optimistic,100,10,0.5,100,101.08300,1.50506,185.01
ctp3,test04_10.graph,aot2,optimistic,500,10,0.5,100,95.61100,1.28257,556.55
ctp3,test04_10.graph,aot2,optimistic,1000,10,0.5,100,91.95300,1.22343,852.96
