domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
ctp3,test01_20_T.graph,ao3,optimistic,100,20,0.5,100,186.39999,2.85056,4306.43
ctp3,test01_20_T.graph,ao3,optimistic,500,20,0.5,100,171.70700,2.31286,17103.60
ctp3,test01_20_T.graph,ao3,optimistic,1000,20,0.5,100,168.18100,2.08278,28602.83
ctp3,test01_20_T.graph,ao3,optimistic,5000,20,0.5,100,164.60899,2.03512,73187.40
ctp3,test01_20_T.graph,ao3,random,100,20,0.5,100,195.83900,2.85680,3916.71
ctp3,test01_20_T.graph,ao3,optimistic,100,20,0.9,500,193.28000,3.12753,4353.26
ctp3,test01_20_T.graph,ao3,optimistic,500,20,0.9,500,174.21300,2.68442,19472.60
ctp3,test01_20_T.graph,ao3,optimistic,1000,20,0.9,500,169.43700,2.43283,36546.42
ctp3,test01_20_T.graph,ao3,random,100,20,0.9,500,199.63800,2.97744,3903.88
ctp3,test01_20_T.graph,ao3,random,500,20,0.9,500,178.87000,2.49049,17481.41
ctp3,test01_20_T.graph,ao3,random,1000,20,0.9,500,176.06900,2.43591,32422.96
ctp3,test02_20_T.graph,ao3,random,100,20,0.5,500,149.43401,3.66902,3255.34
ctp3,test02_20_T.graph,ao3,random,500,20,0.5,500,139.25200,3.22963,16638.95
ctp3,test02_20_T.graph,ao3,random,1000,20,0.5,500,140.54100,3.13260,32889.70
ctp3,test02_20_T.graph,ao3,random,5000,20,0.5,500,138.76199,3.11885,104910.02
ctp3,test02_20_T.graph,ao3,random,10000,20,0.5,500,138.55901,3.21885,148060.09
ctp3,test02_20_T.graph,ao3,optimistic,100,20,0.5,500,146.38300,3.75073,2827.79
ctp3,test02_20_T.graph,ao3,optimistic,500,20,0.5,500,134.19901,3.16235,13667.37
ctp3,test02_20_T.graph,ao3,optimistic,1000,20,0.5,500,129.77800,3.01360,27334.43
ctp3,test02_20_T.graph,ao3,optimistic,5000,20,0.5,500,140.29201,3.11126,101012.76
ctp3,test02_20_T.graph,ao3,optimistic,10000,20,0.5,500,133.43700,2.94943,155520.81
ctp3,test02_20_T.graph,ao3,random,100,20,0.1,500,153.07300,3.81139,3399.46
ctp3,test02_20_T.graph,ao3,random,500,20,0.1,500,142.55499,3.29318,16748.50
ctp3,test02_20_T.graph,ao3,random,1000,20,0.1,500,139.62700,3.32296,32832.09
ctp3,test02_20_T.graph,ao3,optimistic,100,20,0.1,500,142.09300,3.26162,2877.58
ctp3,test02_20_T.graph,ao3,optimistic,500,20,0.1,500,135.15300,3.08863,13651.54
ctp3,test02_20_T.graph,ao3,optimistic,1000,20,0.1,500,135.64900,3.15133,27311.64
ctp3,test02_20_T.graph,ao3,random,100,20,0.5,50,151.74200,3.80934,3294.61
ctp3,test02_20_T.graph,ao3,random,500,20,0.5,50,150.41800,3.77121,12496.14
ctp3,test02_20_T.graph,ao3,random,1000,20,0.5,50,144.59200,3.65818,18218.62
ctp3,test02_20_T.graph,ao3,random,5000,20,0.5,50,145.76100,3.55566,53135.09
ctp3,test02_20_T.graph,ao3,optimistic,100,20,0.5,50,136.26801,3.16795,2794.02
ctp3,test02_20_T.graph,ao3,optimistic,500,20,0.5,50,138.43600,3.27392,11001.08
ctp3,test02_20_T.graph,ao3,optimistic,1000,20,0.5,50,135.36099,3.05244,17731.02
ctp3,test02_20_T.graph,ao3,optimistic,5000,20,0.5,50,139.75999,3.11094,61726.47
ctp3,test02_20_T.graph,ao3,random,100,20,0.5,100,154.03000,3.91922,3311.70
ctp3,test02_20_T.graph,ao3,random,500,20,0.5,100,141.37100,3.38042,14807.12
ctp3,test02_20_T.graph,ao3,random,1000,20,0.5,100,141.28999,3.35948,23483.22
ctp3,test02_20_T.graph,ao3,random,5000,20,0.5,100,145.09399,3.48935,59678.12
ctp3,test02_20_T.graph,ao3,optimistic,100,20,0.5,100,147.16299,3.57726,2870.89
ctp3,test02_20_T.graph,ao3,optimistic,500,20,0.5,100,133.40700,2.98824,12749.00
ctp3,test02_20_T.graph,ao3,optimistic,1000,20,0.5,100,133.51801,2.97800,21074.79
ctp3,test02_20_T.graph,ao3,optimistic,5000,20,0.5,100,137.87199,3.07475,65897.00
ctp3,test02_20_T.graph,ao3,random,100,20,0.9,500,148.50700,3.68131,3204.63
ctp3,test02_20_T.graph,ao3,random,500,20,0.9,500,141.94299,3.28053,16549.02
ctp3,test02_20_T.graph,ao3,random,1000,20,0.9,500,139.83000,3.23184,32370.52
ctp3,test02_20_T.graph,ao3,optimistic,100,20,0.9,500,147.85400,3.60105,2812.17
ctp3,test02_20_T.graph,ao3,optimistic,500,20,0.9,500,137.69901,3.25789,13836.02
ctp3,test02_20_T.graph,ao3,optimistic,1000,20,0.9,500,132.08299,2.90264,27359.11
ctp3,test03_20_T.graph,ao3,random,100,20,0.5,500,374.80399,6.98861,3968.48
ctp3,test03_20_T.graph,ao3,random,500,20,0.5,500,354.26999,6.45686,19284.36
ctp3,test03_20_T.graph,ao3,random,1000,20,0.5,500,319.76099,5.61379,35396.77
ctp3,test03_20_T.graph,ao3,random,5000,20,0.5,500,280.59900,4.59132,105453.55
ctp3,test03_20_T.graph,ao3,random,10000,20,0.5,500,270.49399,4.28108,140242.48
ctp3,test03_20_T.graph,ao3,optimistic,100,20,0.5,500,532.21698,8.48698,5437.10
ctp3,test03_20_T.graph,ao3,optimistic,500,20,0.5,500,504.98499,6.92153,26637.45
ctp3,test03_20_T.graph,ao3,optimistic,1000,20,0.5,500,471.04901,6.25137,49326.02
ctp3,test03_20_T.graph,ao3,optimistic,5000,20,0.5,500,396.97000,5.42102,163141.61
ctp3,test03_20_T.graph,ao3,optimistic,10000,20,0.5,500,365.39200,4.80234,239927.67
ctp3,test03_20_T.graph,ao3,random,100,20,0.1,500,377.87799,7.21582,4056.53
ctp3,test03_20_T.graph,ao3,random,500,20,0.1,500,364.90500,6.50085,19452.88
ctp3,test03_20_T.graph,ao3,random,1000,20,0.1,500,332.60901,5.78881,36262.61
ctp3,test03_20_T.graph,ao3,optimistic,100,20,0.1,500,526.69800,8.11981,5559.18
ctp3,test03_20_T.graph,ao3,optimistic,500,20,0.1,500,502.80499,7.12821,26393.79
ctp3,test03_20_T.graph,ao3,optimistic,1000,20,0.1,500,481.57599,6.30577,49918.41
ctp3,test03_20_T.graph,ao3,random,100,20,0.5,50,355.39899,6.51246,3869.99
ctp3,test03_20_T.graph,ao3,random,500,20,0.5,50,303.72501,5.06677,12606.78
ctp3,test03_20_T.graph,ao3,random,1000,20,0.5,50,307.26001,5.06097,17947.19
ctp3,test03_20_T.graph,ao3,random,5000,20,0.5,50,294.92700,4.72667,47185.99
ctp3,test03_20_T.graph,ao3,optimistic,100,20,0.5,50,501.22900,7.81279,5313.92
