
exp = #expansions per recomputation of deltas

--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
test02_20_T  aot        random       5000  500  138.76       3.11      104910.02
test02_20_T  aot        random      10000  500  138.55       3.21      148060.09
test02_20_T  uct        optimistic    100   NA  207.52       5.26          65.31
test02_20_T  uct        optimistic    500   NA  167.03       4.30         284.21
test02_20_T  uct        optimistic   1000   NA  147.81       3.80         521.65
test02_20_T  uct        optimistic   5000   NA  143.59       3.43        2480.57
test02_20_T  uct        optimistic  10000   NA  141.94       3.28        4851.87
test02_20_T  uct        random        100   NA  202.98       5.68          64.65
test02_20_T  uct        random        500   NA  171.86       4.92         278.33
test02_20_T  uct        random       1000   NA  173.68       4.90         554.33
test02_20_T  uct        random       5000   NA  170.66       4.64        2597.61
test02_20_T  uct        random      10000   NA  163.35       4.29        4924.98
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test03_20_T  aot        optimistic    100   50  501.22       7.81        5313.92
test03_20_T  aot        optimistic    100  100  523.28       8.37        5439.91
test03_20_T  aot        optimistic    100  500  532.21       8.48        5437.10
test03_20_T  aot        optimistic    500   50  439.43       6.04       19431.38
test03_20_T  aot        optimistic    500  100  458.77       6.50       22883.82
test03_20_T  aot        optimistic    500  500  504.98       6.92       26637.45
test03_20_T  aot        optimistic   1000   50  429.60       5.95       28837.55
test03_20_T  aot        optimistic   1000  100  431.65       5.83       37522.98
test03_20_T  aot        optimistic   1000  500  471.04       6.25       49326.02
test03_20_T  aot        optimistic   5000   50  389.04       5.08       72295.65
test03_20_T  aot        optimistic   5000  100  385.59       4.95       90048.00
test03_20_T  aot        optimistic   5000  500  396.97       5.42      163141.61
test03_20_T  aot        optimistic  10000  500  365.39       4.80      239927.67
test03_20_T  aot        random        100   50  355.39       6.51        3869.99
test03_20_T  aot        random        100  100  390.04       7.19        3955.35
test03_20_T  aot        random        100  500  374.80       6.98        3968.48
test03_20_T  aot        random        500   50  303.72       5.06       12606.78
test03_20_T  aot        random        500  100  307.39       5.44       15929.97
test03_20_T  aot        random        500  500  354.26       6.45       19284.36
test03_20_T  aot        random       1000   50  307.26       5.06       17947.19
test03_20_T  aot        random       1000  100  292.89       4.82       24121.44
test03_20_T  aot        random       1000  500  319.76       5.61       35396.77
test03_20_T  aot        random       5000   50  294.92       4.72       47185.99
test03_20_T  aot        random       5000  100  287.57       4.63       54544.48
test03_20_T  aot        random       5000  500  280.59       4.59      105453.55
test03_20_T  aot        random      10000  500  270.49       4.28      140242.48
test03_20_T  uct        optimistic    100   NA  455.17       8.01         132.66
test03_20_T  uct        optimistic    500   NA  397.01       6.52         651.95
test03_20_T  uct        optimistic   1000   NA  372.11       5.96        1282.94
test03_20_T  uct        optimistic   5000   NA  301.22       4.54        6082.42
test03_20_T  uct        optimistic  10000   NA  286.67       4.41       11773.73
test03_20_T  uct        random        100   NA  380.86       7.25         103.25
test03_20_T  uct        random        500   NA  313.10       5.72         489.79
test03_20_T  uct        random       1000   NA  283.00       4.96         959.60
test03_20_T  uct        random       5000   NA  257.59       4.53        4548.91
test03_20_T  uct        random      10000   NA  246.34       4.08        8856.71
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test04_20_T  aot        optimistic    100   50  170.75       5.49        4067.31
test04_20_T  aot        optimistic    100  100  175.40       5.55        4182.13
test04_20_T  aot        optimistic    100  500  174.43       5.64        4109.80
test04_20_T  aot        optimistic    500   50  147.39       4.36       17059.35
test04_20_T  aot        optimistic    500  100  150.20       4.26       19014.92
test04_20_T  aot        optimistic    500  500  166.27       5.04       20813.50
test04_20_T  aot        optimistic   1000   50  144.51       4.05       28805.82
test04_20_T  aot        optimistic   1000  100  136.17       3.78       32715.73
test04_20_T  aot        optimistic   1000  500  151.71       4.63       39120.67
test04_20_T  aot        optimistic   5000   50  143.71       4.08       81705.12
test04_20_T  aot        optimistic   5000  100  143.63       3.88       97011.96
test04_20_T  aot        optimistic   5000  500  139.62       3.93      155694.91
test04_20_T  aot        optimistic  10000  500  134.65       3.63      248989.52
test04_20_T  aot        random        100   50  145.29       4.48        3855.84
test04_20_T  aot        random        100  100  143.05       4.69        3937.42
test04_20_T  aot        random        100  500  144.86       4.56        3905.34
test04_20_T  aot        random        500   50  129.84       3.47       14470.63
test04_20_T  aot        random        500  100  126.15       3.65       16715.83
test04_20_T  aot        random        500  500  124.83       3.54       19199.38
test04_20_T  aot        random       1000   50  127.41       3.55       20773.29
test04_20_T  aot        random       1000  100  131.30       3.70       26959.40
test04_20_T  aot        random       1000  500  115.53       3.00       36769.11
test04_20_T  aot        random       5000   50  127.73       3.66       54401.55
test04_20_T  aot        random       5000  100  119.47       3.23       61286.88
test04_20_T  aot        random       5000  500  113.27       2.96      118809.81
test04_20_T  aot        random      10000  500  122.07       3.21      163225.14
test04_20_T  uct        optimistic    100   NA  228.06       6.90          80.45
test04_20_T  uct        optimistic    500   NA  172.05       5.29         357.84
test04_20_T  uct        optimistic   1000   NA  167.26       5.20         701.32
test04_20_T  uct        optimistic   5000   NA  138.06       3.85        3096.37
test04_20_T  uct        optimistic  10000   NA  130.41       3.57        5870.11
test04_20_T  uct        random        100   NA  182.86       6.05          70.66
test04_20_T  uct        random        500   NA  144.12       4.39         314.31
test04_20_T  uct        random       1000   NA  134.75       4.32         587.56
test04_20_T  uct        random       5000   NA  124.99       3.71        2654.15
test04_20_T  uct        random      10000   NA  128.91       3.83        5241.53
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test05_20_T  aot        optimistic    100   50  150.54       2.53        3022.28
test05_20_T  aot        optimistic    100  100  152.70       2.53        3169.45
test05_20_T  aot        optimistic    100  500  149.84       2.57        3124.10
test05_20_T  aot        optimistic    500   50  150.51       2.27       10498.69
test05_20_T  aot        optimistic    500  100  145.37       2.01       12122.67
test05_20_T  aot        optimistic    500  500  144.62       2.16       14502.33
test05_20_T  aot        optimistic   1000   50  143.09       1.95       17546.01
test05_20_T  aot        optimistic   1000  100  145.10       1.96       20253.90
test05_20_T  aot        optimistic   1000  500  144.49       2.54       26372.51
test05_20_T  aot        optimistic   5000   50  142.50       1.81       61808.73
test05_20_T  aot        optimistic   5000  100  142.83       1.77       66189.25
test05_20_T  aot        optimistic   5000  500  142.80       2.02       90941.55
test05_20_T  aot        optimistic  10000  500  138.49       1.83      150754.75
test05_20_T  aot        random        100   50  174.89       3.15        3431.83
test05_20_T  aot        random        100  100  171.92       3.17        3596.98
test05_20_T  aot        random        100  500  170.98       2.97        3607.77
test05_20_T  aot        random        500   50  174.03       3.15       11383.83
test05_20_T  aot        random        500  100  164.17       2.88       13390.88
test05_20_T  aot        random        500  500  165.70       2.66       16436.76
test05_20_T  aot        random       1000   50  167.22       2.99       16224.10
test05_20_T  aot        random       1000  100  162.73       2.66       20890.31
test05_20_T  aot        random       1000  500  160.81       2.52       29767.17
test05_20_T  aot        random       5000   50  165.71       2.84       42708.58
test05_20_T  aot        random       5000  100  163.58       2.70       48173.83
test05_20_T  aot        random       5000  500  162.02       2.66       89699.80
test05_20_T  aot        random      10000  500  160.12       2.60      120901.67
test05_20_T  uct        optimistic    100   NA  194.07       3.69          78.20
test05_20_T  uct        optimistic    500   NA  177.89       3.16         381.98
test05_20_T  uct        optimistic   1000   NA  172.93       2.93         755.60
test05_20_T  uct        optimistic   5000   NA  165.94       2.78        3621.57
