--------------------------------------------------------------------------------
problem  algorithm  base    width  depth  exp  quality.avg  quality.stdev  time
 50      aot        random   1000   50    100  26.31        0.16       58078.29
********************************************************************************
 50      uct        greedy     10   50     NA  43.06        0.12          80.76
 50      uct        greedy     25   50     NA  38.61        0.12         204.55
 50      uct        greedy     50   50     NA  34.42        0.13         395.30
 50      uct        greedy    100   50     NA  31.14        0.14         845.30
 50      uct        greedy    250   50     NA  29.02        0.15        1945.11
 50      uct        greedy    500   50     NA  27.01        0.15        3865.04
 50      uct        greedy   1000   50     NA  26.67        0.16        7573.21
 50      uct        greedy   2500   50     NA  26.41        0.17       18773.96
 50      uct        greedy   5000   50     NA  26.36        0.16       36825.93
 50      uct        greedy  10000   50     NA  26.21        0.16       73752.63
 50      uct        random     10   50     NA  44.63        0.10          25.19
 50      uct        random     25   50     NA  38.68        0.11          63.36
 50      uct        random     50   50     NA  34.13        0.12         126.69
 50      uct        random    100   50     NA  30.72        0.14         266.45
 50      uct        random    250   50     NA  28.63        0.15         636.75
 50      uct        random    500   50     NA  27.73        0.17        1335.17
 50      uct        random   1000   50     NA  26.73        0.17        2581.83
 50      uct        random   2500   50     NA  26.56        0.17        6654.70
 50      uct        random   5000   50     NA  26.38        0.17       13755.56
 50      uct        random  10000   50     NA  26.90        0.17       28887.74
--------------------------------------------------------------------------------
problem  algorithm  base    width  depth  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
 75      aot        greedy     10   75    100  30.77        0.15        2412.69
 75      aot        greedy     50   75    100  26.16        0.15       11926.25
 75      aot        greedy    100   75    100  26.05        0.15       24449.73
 75      aot        greedy    500   75    100  25.86        0.15      118041.51
 75      aot        greedy   1000   75    100  26.08        0.16      228835.95
********************************************************************************
 75      aot        random     10   75    100  30.91        0.13         805.44
 75      aot        random     50   75    100  26.23        0.16        3836.85
 75      aot        random    100   75    100  26.01        0.16        7941.62
 75      aot        random    500   75    100  25.86        0.15       41105.98
 75      aot        random   1000   75    100  26.12        0.15       83656.34
********************************************************************************
 75      uct        greedy     10   75     NA  42.85        0.12         118.40
 75      uct        greedy     25   75     NA  38.61        0.13         296.83
 75      uct        greedy     50   75     NA  34.24        0.14         596.39
 75      uct        greedy    100   75     NA  31.14        0.15        1195.23
 75      uct        greedy    250   75     NA  28.53        0.15        3152.80
 75      uct        greedy    500   75     NA  27.51        0.16        5816.10
 75      uct        greedy   1000   75     NA  26.29        0.15       11598.42
 75      uct        greedy   2500   75     NA  26.47        0.17       28382.22
 75      uct        greedy   5000   75     NA  26.02        0.16       56893.19
 75      uct        greedy  10000   75     NA  26.24        0.16      114018.93
 75      uct        random     10   75     NA  44.57        0.11          37.53
