domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
ctp3,test06_20_T.graph,uct,optimistic,10000,20,0,NA,180.85300,3.00485,8874.98
ctp3,test07_20_T.graph,uct,random,100,20,0,NA,311.48599,5.98733,96.89
ctp3,test07_20_T.graph,uct,random,500,20,0,NA,242.76401,5.00509,442.98
ctp3,test07_20_T.graph,uct,random,1000,20,0,NA,247.88000,5.03224,891.35
ctp3,test07_20_T.graph,uct,random,5000,20,0,NA,216.29401,4.66249,4105.31
ctp3,test07_20_T.graph,uct,random,10000,20,0,NA,204.20700,4.46464,7871.01
ctp3,test07_20_T.graph,uct,optimistic,100,20,0,NA,308.71500,6.00827,98.24
ctp3,test07_20_T.graph,uct,optimistic,500,20,0,NA,255.00200,4.92414,469.44
ctp3,test07_20_T.graph,uct,optimistic,1000,20,0,NA,223.19800,4.72913,883.13
ctp3,test07_20_T.graph,uct,optimistic,5000,20,0,NA,175.68100,3.72504,3983.37
ctp3,test07_20_T.graph,uct,optimistic,10000,20,0,NA,158.51700,3.43768,7637.16
ctp3,test08_20_T.graph,uct,random,100,20,0,NA,323.31500,4.88264,121.82
ctp3,test08_20_T.graph,uct,random,500,20,0,NA,263.38800,3.68178,572.68
ctp3,test08_20_T.graph,uct,random,1000,20,0,NA,255.25400,3.49981,1126.52
ctp3,test08_20_T.graph,uct,random,5000,20,0,NA,237.16600,3.13262,5249.01
ctp3,test08_20_T.graph,uct,random,10000,20,0,NA,246.14900,3.20168,10483.60
ctp3,test08_20_T.graph,uct,optimistic,100,20,0,NA,359.94501,5.88127,113.56
ctp3,test08_20_T.graph,uct,optimistic,500,20,0,NA,268.07401,3.68179,542.25
ctp3,test08_20_T.graph,uct,optimistic,1000,20,0,NA,242.29700,3.51411,1060.96
ctp3,test08_20_T.graph,uct,optimistic,5000,20,0,NA,205.96001,2.78344,4990.54
ctp3,test08_20_T.graph,uct,optimistic,10000,20,0,NA,195.67900,2.75830,9820.67
ctp3,test09_20_T.graph,uct,optimistic,10000,20,0,NA,190.65401,3.60174,8172.50
ctp3,test09_20_T.graph,uct,random,100,20,0,NA,261.91699,5.81096,98.22
ctp3,test09_20_T.graph,uct,random,500,20,0,NA,207.96800,4.22770,451.44
ctp3,test09_20_T.graph,uct,random,1000,20,0,NA,198.51500,4.19065,863.81
ctp3,test09_20_T.graph,uct,random,5000,20,0,NA,199.44099,3.99530,4098.22
ctp3,test09_20_T.graph,uct,random,10000,20,0,NA,194.83299,3.84794,7948.08
ctp3,test09_20_T.graph,uct,optimistic,100,20,0,NA,330.65601,6.51794,97.27
ctp3,test09_20_T.graph,uct,optimistic,500,20,0,NA,289.07001,5.34618,492.21
ctp3,test09_20_T.graph,uct,optimistic,1000,20,0,NA,245.13200,4.59808,939.92
ctp3,test09_20_T.graph,uct,optimistic,5000,20,0,NA,203.38100,3.76735,4312.74
