domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
ctp3,test01_10.graph,aot-random,optimistic,10,10,0.5,100,134.26700,1.85289,6.90
ctp3,test01_10.graph,aot-random,optimistic,50,10,0.5,100,136.98399,1.99269,10.48
ctp3,test01_10.graph,aot-random,optimistic,100,10,0.5,100,132.55901,1.80528,15.17
ctp3,test01_10.graph,aot-random,optimistic,500,10,0.5,100,132.73199,1.74091,76.38
ctp3,test01_10.graph,aot-random,optimistic,1000,10,0.5,100,130.88699,1.65646,214.08
ctp3,test01_10.graph,aot-random,optimistic,5000,10,0.5,100,125.99500,1.60002,5420.01
ctp3,test01_10.graph,aot,random,10,10,0.5,100,126.37500,1.73212,23.18
ctp3,test01_10.graph,aot,random,50,10,0.5,100,102.75200,1.25776,77.10
ctp3,test01_10.graph,aot,random,100,10,0.5,100,100.80700,1.14248,134.71
ctp3,test01_10.graph,aot,random,500,10,0.5,100,98.36700,1.01625,336.01
ctp3,test01_10.graph,aot,random,1000,10,0.5,100,97.56200,1.04741,445.28
ctp3,test01_10.graph,aot,random,5000,10,0.5,100,98.15100,1.05130,1568.76
ctp3,test01_10.graph,aot,optimistic,10,10,0.5,100,124.49600,1.79318,21.09
ctp3,test01_10.graph,aot,optimistic,50,10,0.5,100,109.40300,1.46577,68.17
ctp3,test01_10.graph,aot,optimistic,100,10,0.5,100,104.97500,1.39319,118.60
ctp3,test01_10.graph,aot,optimistic,500,10,0.5,100,99.13900,1.10797,319.93
ctp3,test01_10.graph,aot,optimistic,1000,10,0.5,100,98.34500,1.07325,477.83
ctp3,test01_10.graph,aot,optimistic,5000,10,0.5,100,98.21400,1.11519,1966.97
ctp3,test02_10.graph,aot-random,random,10,10,0.5,100,165.59000,2.71677,9.06
ctp3,test02_10.graph,aot-random,random,50,10,0.5,100,165.89700,2.60561,12.83
ctp3,test02_10.graph,aot-random,random,100,10,0.5,100,164.11900,2.57615,17.35
ctp3,test02_10.graph,aot-random,random,500,10,0.5,100,159.22000,2.41692,72.72
ctp3,test02_10.graph,aot-random,random,1000,10,0.5,100,157.50700,2.32032,199.34
ctp3,test02_10.graph,aot-random,random,5000,10,0.5,100,152.26700,2.05073,4011.72
ctp3,test02_10.graph,aot-value,optimistic,10,10,0.5,100,119.67000,1.57591,2.74
ctp3,test02_10.graph,aot-value,optimistic,50,10,0.5,100,121.47100,1.62706,13.11
ctp3,test02_10.graph,aot-value,optimistic,100,10,0.5,100,120.72100,1.63889,23.65
ctp3,test02_10.graph,aot-value,optimistic,500,10,0.5,100,117.17800,1.50559,102.85
ctp3,test02_10.graph,aot-value,optimistic,1000,10,0.5,100,117.85600,1.49234,212.68
ctp3,test02_10.graph,aot-value,optimistic,5000,10,0.5,100,113.00100,1.26676,2038.68
ctp3,test02_10.graph,uct,random,10,10,0,NA,174.10001,3.21416,2.18
ctp3,test02_10.graph,uct,random,50,10,0,NA,169.07100,2.82332,10.42
ctp3,test02_10.graph,uct,random,100,10,0,NA,150.81100,2.47818,19.86
ctp3,test02_10.graph,uct,random,500,10,0,NA,135.13000,1.94536,90.54
ctp3,test02_10.graph,uct,random,1000,10,0,NA,131.24200,1.89491,174.18
ctp3,test02_10.graph,uct,random,5000,10,0,NA,130.16200,1.84068,783.10
ctp3,test02_10.graph,uct,random,10000,10,0,NA,127.15400,1.68529,1524.76
ctp3,test02_10.graph,uct,optimistic,10,10,0,NA,147.28000,2.44853,1.89
ctp3,test02_10.graph,uct,optimistic,50,10,0,NA,167.73399,2.74334,9.71
ctp3,test02_10.graph,uct,optimistic,100,10,0,NA,158.02299,2.46685,19.34
